DATA IN NGS FORMAT FROM DATABASE 19JUL04XE_V005                                                 
Observed delays and rates in card #2, modified errors in card #9                                
       -1.7339175849    .00461        -.0684523094    .00521  0             4108                
FORTLEZA  MATERA    OJ287    2019 07 04 18 51   8.0000000000                4201                
   11001292.91138502    .00445   317495.3657630969    .00908 1      I       4202                
    .00215    .00000    .00000    .00000   3.834039837040751        0.      4203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4204
   -.02600   -.19597    .00000    .00000    .00000    .00000                4205                
    27.500    24.800  1008.700   960.914    73.600    58.584 0 0            4206                
        1.6466629903    .00736        -.0123352135    .00830  0             4208                
HART15M   YARRA12M  1741-038 2019 07 04 18 53   1.0000000000                4301                
    5308566.45542739    .00933  1862725.9829160460    .01902 0      I       4302                
    .00102    .00000    .00000    .00000   4.177133548695114        0.      4303                
  0.105   0.475  0.0004  0.0013 -0.0069  0.0175      37517.676              4304
    .00000    .00000    .00000    .00000    .00000    .00000                4305                
     5.300     9.087   869.100   983.700    48.917    99.081 0 0            4306                
        3.6020705697    .00666         .0034252400    .00916  0             4308                
HART15M   ZELENCHK  1741-038 2019 07 04 18 53   1.0000000000                4401                
    3353361.70759064    .00242   392101.8238089481    .00494 0      I       4402                
    .00393    .00000    .00000    .00000   3.878049106686528        0.      4403                
  0.105   0.856  0.0004 -0.0192 -0.0069 -0.0041     636050.419              4404
    .00000    .00000    .00000    .00000    .00000    .00000                4405                
     5.300    14.400   869.100   887.713    48.917    88.502 0 0            4406                
        3.2132121130    .00285        -.0029819382    .00414  0             4408                
YARRA12M  ZELENCHK  1741-038 2019 07 04 18 53   1.0000000000                4501                
   -1955196.96272460    .00389 -1470621.5251139100    .00767 0      I       4502                
    .00243    .00000    .00000    .00000   -.513330225646199        0.      4503                
  0.475   0.856  0.0013 -0.0192  0.0175 -0.0041     598532.743              4504
    .00000    .00000    .00000    .00000    .00000    .00000                4505                
     9.087    14.400   983.700   887.713    99.081    88.502 0 0            4506                
        -.4026110543    .00644         .0126424480    .00903  0             4508                
KATH12M   NYALES20  0202+319 2019 07 04 18 53  41.0000000000                4601                
    -280842.43648746    .01329   993797.2838056771    .01541 0      I       4602                
    .00055    .00000    .00000    .00000  -2.173786863965657        0.      4603                
  0.449   0.988 -0.0021  0.0042 -0.0012 -0.0034    -515031.745              4604
    .00000    .01523    .00000    .00000    .00000    .00000                4605                
     9.500     8.667   999.934  1013.400    59.732    80.633 0 0            4606                
         .3968631571    .01983        -.0205170193    .01543  0             4608                
FORTLEZA  HART15M   1034-293 2019 07 04 18 55  56.0000000000                4701                
    9965761.64941339    .05653   971247.0496146615    .05223 8      I       4702                
    .00011    .00000    .00000    .00000   1.686272056925168        0.      4703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4704
   -.02725    .00000    .00000    .00000    .00000    .00000                4705                
    27.500     5.341  1008.700   869.100    73.600    48.939 0 0            4706                
       -3.0019508109    .04254        1.6915311069    .02651  0             4708                
KATH12M   NYALES20  0133+476 2019 07 04 18 56  46.0000000000                4801                
   -7213788.81522683    .01004   672075.0712019821    .00612 0      I       4802                
    .00052    .00000    .00000    .00000  -3.033642217751758        0.      4803                
  0.622   0.596 -0.0042  0.0012 -0.0014 -0.0022    -515030.950              4804
    .00000    .01318    .00000    .00000    .00000    .00000                4805                
     9.500     8.700   999.962  1013.400    59.752    81.800 0 0            4806                
         .3620420138    .01561         .0070837829    .00638  0             4808                
