DATA IN NGS FORMAT FROM DATABASE 19JUN20XE_V006                                                 
Observed delays and rates in card #2, modified errors in card #9                                
  0.244   0.667 -0.0107 -0.0010 -0.0049 -0.0031     -11626.917              3404
    .00000    .00000    .00000    .00000    .00000    .00000                3405                
     5.709    28.700   873.900  1008.673    46.544    29.927 0 0            3406                
       -4.3338299073    .00841         .0112123194    .01117  0             3408                
HART15M   YEBES40M  NRAO512  2019 06 20 18 33  49.0000000000                3501                
   -7730646.90585257    .00959  -207879.2280446049    .02026 0      I       3502                
    .00103    .00000    .00000    .00000  -1.138704165725884        0.      3503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3504
    .00000   2.34249    .00000    .00000    .00000    .00000                3505                
     5.709    23.800   873.900   908.023    46.544    27.000 0 0            3506                
       -5.3387165625    .00711         .0105088491    .01106  0             3508                
YEBES40M  ZELENCHK  NRAO512  2019 06 20 18 33  49.0000000000                3601                
   -6335260.90573821    .00279   513725.2236285186    .00568 0      I       3602                
    .00351    .00000    .00000    .00000  -1.041670826144411        0.      3603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3604
   2.34249    .00000    .00000    .00000    .00000    .00000                3605                
    23.800    15.100   908.023   883.500    27.000    75.800 0 0            3606                
        4.4912040292    .00420         .0053205921    .00698  0             3608                
BADARY    ZELENCHK  NRAO512  2019 06 20 18 33  49.0000000000                3701                
   -1854953.22874748    .00391  -783808.7302484801    .00772 0      I       3702                
    .00242    .00000    .00000    .00000   -.968928245444578        0.      3703                
  0.661   0.498  0.0001  0.0001  0.0010 -0.0004      -1461.856              3704
    .00000    .00000    .00000    .00000    .00000    .00000                3705                
    13.577    15.100   917.589   883.500    71.546    75.800 0 0            3706                
        3.0322904174    .00263        -.0059480217    .00371  0             3708                
BADARY    YEBES40M  NRAO512  2019 06 20 18 33  49.0000000000                3801                
    4480305.26434088    .00520 -1297533.4607537320    .01060 0      I       3802                
    .00188    .00000    .00000    .00000   1.130861023157546        0.      3803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3804
    .00000   2.34249    .00000    .00000    .00000    .00000                3805                
    13.577    23.800   917.589   908.023    71.546    27.000 0 0            3806                
       -1.4805175460    .00383        -.0231136563    .00575  0             3808                
BADARY    HART15M   NRAO512  2019 06 20 18 33  49.0000000000                3901                
   12210954.76351252    .01398 -1089654.0073506810    .02851 0      I       3902                
    .00068    .00000    .00000    .00000   3.641469321778211        0.      3903                
  0.661   0.244  0.0001 -0.0107  0.0010 -0.0049    -212154.411              3904
    .00000    .00000    .00000    .00000    .00000    .00000                3905                
    13.577     5.709   917.589   873.900    71.546    46.544 0 0            3906                
        3.8736144004    .00436        -.0234908763    .00618  0             3908                
KATH12M   YARRA12M  0308-611 2019 06 20 18 36  37.0000000000                4001                
   -1703455.86017954    .03771    90986.1590888572    .14867 0      I       4002                
    .00035    .00000    .00000    .00000  -5.369748750157744        0.      4003                
  0.872  -0.063 -0.0209  0.0305 -0.0419  0.0220      11814.083              4004
    .00000    .00000    .00000    .00000    .00000    .00000                4005                
    13.224    14.783  1000.400   981.361    39.320    54.544 0 0            4006                
         .3015019756    .02197         .0757480188    .05864  0             4008                
WARK12M   YARRA12M  0308-611 2019 06 20 18 36  37.0000000000                4101                
  266435575.63603900    .09745  -209048.1823180359    .96051 8      I       4102                
    .00024    .00000    .00000    .00000    .816838844015679        0.      4103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4104
    .00000    .00000    .00000    .00000    .00000    .00000                4105                
    14.900    14.783  1006.500   981.361   100.000    54.544 0 0            4106                
        4.0078119810    .05138        5.4074458056    .34373  0             4108                
KATH12M   WARK12M   0308-611 2019 06 20 18 36  37.0000000000                4201                
 -268139034.14390070    .09492   300033.0247428247   1.12276 8      I       4202                
    .00026    .00000    .00000    .00000  -5.648118858891585        0.      4203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4204
    .00000    .00000    .00000    .00000    .00000    .00000                4205                
    13.224    14.900  1000.400  1006.500    39.320   100.000 0 0            4206                
        -.4856646400    .04688       -8.6349998164    .37705  0             4208                
ISHIOKA   MEDICINA  0059+581 2019 06 20 18 38  10.0000000000                4301                
   11976111.35799960    .01690   443838.8219458634    .03447 0      I       4302                
    .00058    .00000    .00000    .00000   1.950682674173141        0.      4303                
  1.051   2.331  0.0061 -0.0965 -0.0032 -0.0022      -8488.506              4304
    .00000    .00000    .00000    .00000    .00000    .00000                4305                
    19.600    28.490   996.484  1008.700    98.784    30.680 0 0            4306                
        -.1010997644    .00674         .0241981842    .00790  0             4308                
BADARY    ISHIOKA   0059+581 2019 06 20 18 38  10.0000000000                4401                
   -2211122.51514728    .00741    18085.5696203942    .01511 0      I       4402                
    .00129    .00000    .00000    .00000  -2.258569662532765        0.      4403                
  0.808   1.051 -0.0013  0.0061 -0.0017 -0.0032    -215292.844              4404
    .00000    .00000    .00000    .00000    .00000    .00000                4405                
    13.384    19.600   917.500   996.484    71.997    98.784 0 0            4406                
        -.3202815959    .00250        -.0113856238    .00353  0             4408                
BADARY    MEDICINA  0059+581 2019 06 20 18 38  10.0000000000                4501                
    9764988.00207880    .00468   461924.5059106048    .00955 0      I       4502                
    .00208    .00000    .00000    .00000   4.550268516393898        0.      4503                
  0.808   2.331 -0.0013 -0.0965 -0.0017 -0.0022    -223781.350              4504
    .00000    .00000    .00000    .00000    .00000    .00000                4505                
    13.384    28.490   917.500  1008.700    71.997    30.680 0 0            4506                
        -.4151225239    .00253         .0203488665    .00292  0             4508                
MEDICINA  YEBES40M  0059+581 2019 06 20 18 38  10.0000000000                4601                
    1320491.89523639    .00300   155376.9985201741    .00657 0      I       4602                
